Date,Order Ref. / Order Valid Date / Channel,Exch,Stock,Buy/Sell,Qty,Price,Status,Open,Executed,Cancelled,Expired,Margin Amt. Blocked,Discl. Qty,Stop Loss Price,Segment /  Settl.
3/11/2022 9:16,20220311N800003126,NSE,AVESUP,Sell,2,4116,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/10/2022 15:20,20220310N800050723,NSE,AVESUP,Sell,5,4172.55,Executed,0,5,0,0,0,0,0,Rolling/2022047
3/10/2022 14:53,20220310N800047507,NSE,PIDIND,Sell,2,2363.45,Executed,0,2,0,0,0,0,0,Rolling/2022047
3/10/2022 14:51,20220310N800047408,NSE,CEINFO,Sell,3,1516.6,Executed,0,3,0,0,0,0,0,Rolling/2022047
3/10/2022 9:33,20220310N800010948,NSE,AVESUP,Buy,2,4173,Executed,0,2,0,0,0,0,0,Rolling/2022047
3/10/2022 9:18,20220310N800005849,NSE,CEINFO,Buy,3,1515.75,Executed,0,3,0,0,0,0,0,Rolling/2022047
3/10/2022 9:17,20220310N800005584,NSE,AVESUP,Buy,3,4203.65,Executed,0,3,0,0,0,0,0,Rolling/2022047
3/10/2022 9:17,20220310N800005344,NSE,PIDIND,Buy,2,2303.85,Executed,0,2,0,0,0,0,0,Rolling/2022047
3/9/2022 15:20,20220309N800051792,NSE,NATPHA,Sell,2,854.55,Executed,0,2,0,0,0,0,0,Rolling/2022046
3/9/2022 15:20,20220309N800051753,NSE,AVESUP,Sell,2,4083.7,Executed,0,2,0,0,0,0,0,Rolling/2022046
3/9/2022 15:19,20220309N800051297,NSE,PIDIND,Sell,2,2239.15,Executed,0,2,0,0,0,0,0,Rolling/2022046
3/9/2022 14:43,20220309N800046617,NSE,NATPHA,Buy,2,854.3,Executed,0,2,0,0,0,0,0,Rolling/2022046
3/9/2022 14:42,20220309N800046552,NSE,NATPHA,Buy,2,855.05,Executed,0,2,0,0,0,0,0,Rolling/2022046
3/9/2022 9:52,20220309N800012439,NSE,PIDIND,Buy,2,2179.15,Executed,0,2,0,0,0,0,0,Rolling/2022046
3/9/2022 9:46,20220309N800011267,NSE,NATPHA,Sell,2,855.85,Executed,0,2,0,0,0,0,0,Rolling/2022046
